"orderid","productid","unitprice","quantity","discount"
10284,27,"35.10000",15,"0.25000"
10284,44,"15.50000",21,"0.00000"
10284,60,"27.20000",20,"0.25000"
10284,67,"11.20000",5,"0.25000"
10285,1,"14.40000",45,"0.20000"
10285,40,"14.70000",40,"0.20000"
10285,53,"26.20000",36,"0.20000"
10286,35,"14.40000",100,"0.00000"
10286,62,"39.40000",40,"0.00000"
10287,16,"13.90000",40,"0.15000"
10287,34,"11.20000",20,"0.00000"
10287,46,"9.60000",15,"0.15000"
10288,54,"5.90000",10,"0.10000"
10288,68,"10.00000",3,"0.10000"
10289,3,"8.00000",30,"0.00000"
10289,64,"26.60000",9,"0.00000"
10290,5,"17.00000",20,"0.00000"
10290,29,"99.00000",15,"0.00000"
10290,49,"16.00000",15,"0.00000"
10290,77,"10.40000",10,"0.00000"
10291,13,"4.80000",20,"0.10000"
10291,44,"15.50000",24,"0.10000"
10291,51,"42.40000",2,"0.10000"
10292,20,"64.80000",20,"0.00000"
10293,18,"50.00000",12,"0.00000"
10293,24,"3.60000",10,"0.00000"
10293,63,"35.10000",5,"0.00000"
10293,75,"6.20000",6,"0.00000"
10294,1,"14.40000",18,"0.00000"
10294,17,"31.20000",15,"0.00000"
10294,43,"36.80000",15,"0.00000"
10294,60,"27.20000",21,"0.00000"
10294,75,"6.20000",6,"0.00000"
10295,56,"30.40000",4,"0.00000"
10296,11,"16.80000",12,"0.00000"
10296,16,"13.90000",30,"0.00000"
10296,69,"28.80000",15,"0.00000"
10297,39,"14.40000",60,"0.00000"
10297,72,"27.80000",20,"0.00000"
10298,2,"15.20000",40,"0.00000"
10298,36,"15.20000",40,"0.25000"
10298,59,"44.00000",30,"0.25000"
10298,62,"39.40000",15,"0.00000"
10299,19,"7.30000",15,"0.00000"
10299,70,"12.00000",20,"0.00000"
10300,66,"13.60000",30,"0.00000"
10300,68,"10.00000",20,"0.00000"
10301,40,"14.70000",10,"0.00000"
10301,56,"30.40000",20,"0.00000"
10302,17,"31.20000",40,"0.00000"
10302,28,"36.40000",28,"0.00000"
10302,43,"36.80000",12,"0.00000"
10303,40,"14.70000",40,"0.10000"
10303,65,"16.80000",30,"0.10000"
10303,68,"10.00000",15,"0.10000"
10304,49,"16.00000",30,"0.00000"
10304,59,"44.00000",10,"0.00000"
10304,71,"17.20000",2,"0.00000"
10305,18,"50.00000",25,"0.10000"
10305,29,"99.00000",25,"0.10000"
10305,39,"14.40000",30,"0.10000"
10306,30,"20.70000",10,"0.00000"
10306,53,"26.20000",10,"0.00000"
10306,54,"5.90000",5,"0.00000"
10307,62,"39.40000",10,"0.00000"
10307,68,"10.00000",3,"0.00000"
10308,69,"28.80000",1,"0.00000"
10308,70,"12.00000",5,"0.00000"
10309,4,"17.60000",20,"0.00000"
10309,6,"20.00000",30,"0.00000"
10309,42,"11.20000",2,"0.00000"
10309,43,"36.80000",20,"0.00000"
10309,71,"17.20000",3,"0.00000"
10310,16,"13.90000",10,"0.00000"
10310,62,"39.40000",5,"0.00000"
10311,42,"11.20000",6,"0.00000"
10311,69,"28.80000",7,"0.00000"
10312,28,"36.40000",4,"0.00000"
10312,43,"36.80000",24,"0.00000"
10312,53,"26.20000",20,"0.00000"
10312,75,"6.20000",10,"0.00000"
10313,36,"15.20000",12,"0.00000"
10314,32,"25.60000",40,"0.10000"
10314,58,"10.60000",30,"0.10000"
10314,62,"39.40000",25,"0.10000"
10315,34,"11.20000",14,"0.00000"
10315,70,"12.00000",30,"0.00000"
10316,41,"7.70000",10,"0.00000"
10316,62,"39.40000",70,"0.00000"
10317,1,"14.40000",20,"0.00000"
10318,41,"7.70000",20,"0.00000"
10318,76,"14.40000",6,"0.00000"
10319,17,"31.20000",8,"0.00000"
10319,28,"36.40000",14,"0.00000"
10319,76,"14.40000",30,"0.00000"
10320,71,"17.20000",30,"0.00000"
10321,35,"14.40000",10,"0.00000"
10322,52,"5.60000",20,"0.00000"
10323,15,"12.40000",5,"0.00000"
10323,25,"11.20000",4,"0.00000"
10323,39,"14.40000",4,"0.00000"
10324,16,"13.90000",21,"0.15000"
10324,35,"14.40000",70,"0.15000"
10324,46,"9.60000",30,"0.00000"
10324,59,"44.00000",40,"0.15000"
10324,63,"35.10000",80,"0.15000"
10325,6,"20.00000",6,"0.00000"
10325,13,"4.80000",12,"0.00000"
10325,14,"18.60000",9,"0.00000"
10325,31,"10.00000",4,"0.00000"
10325,72,"27.80000",40,"0.00000"
10326,4,"17.60000",24,"0.00000"
10326,57,"15.60000",16,"0.00000"
10326,75,"6.20000",50,"0.00000"
10327,2,"15.20000",25,"0.20000"
10327,11,"16.80000",50,"0.20000"
10327,30,"20.70000",35,"0.20000"
10327,58,"10.60000",30,"0.20000"
10328,59,"44.00000",9,"0.00000"
10328,65,"16.80000",40,"0.00000"
10328,68,"10.00000",10,"0.00000"
10329,19,"7.30000",10,"0.05000"
10329,30,"20.70000",8,"0.05000"
10329,38,"210.80000",20,"0.05000"
10329,56,"30.40000",12,"0.05000"
10330,26,"24.90000",50,"0.15000"
10330,72,"27.80000",25,"0.15000"
10331,54,"5.90000",15,"0.00000"
10332,18,"50.00000",40,"0.20000"
10332,42,"11.20000",10,"0.20000"
10332,47,"7.60000",16,"0.20000"
10333,14,"18.60000",10,"0.00000"
10333,21,"8.00000",10,"0.10000"
10333,71,"17.20000",40,"0.10000"
10334,52,"5.60000",8,"0.00000"
10334,68,"10.00000",10,"0.00000"
10335,2,"15.20000",7,"0.20000"
10335,31,"10.00000",25,"0.20000"
10335,32,"25.60000",6,"0.20000"
10335,51,"42.40000",48,"0.20000"
10336,4,"17.60000",18,"0.10000"
10337,23,"7.20000",40,"0.00000"
10337,26,"24.90000",24,"0.00000"
10337,36,"15.20000",20,"0.00000"
10337,37,"20.80000",28,"0.00000"
10337,72,"27.80000",25,"0.00000"
10338,17,"31.20000",20,"0.00000"
10338,30,"20.70000",15,"0.00000"
10339,4,"17.60000",10,"0.00000"
10339,17,"31.20000",70,"0.05000"
10339,62,"39.40000",28,"0.00000"
10340,18,"50.00000",20,"0.05000"
10340,41,"7.70000",12,"0.05000"
10340,43,"36.80000",40,"0.05000"
10341,33,"2.00000",8,"0.00000"
10341,59,"44.00000",9,"0.15000"
10342,2,"15.20000",24,"0.20000"
10342,31,"10.00000",56,"0.20000"
10342,36,"15.20000",40,"0.20000"
10342,55,"19.20000",40,"0.20000"
10343,64,"26.60000",50,"0.00000"
10343,68,"10.00000",4,"0.05000"
10343,76,"14.40000",15,"0.00000"
10344,4,"17.60000",35,"0.00000"
10344,8,"32.00000",70,"0.25000"
10345,8,"32.00000",70,"0.00000"
10345,19,"7.30000",80,"0.00000"
10345,42,"11.20000",9,"0.00000"
10346,17,"31.20000",36,"0.10000"
10346,56,"30.40000",20,"0.00000"
10347,25,"11.20000",10,"0.00000"
10347,39,"14.40000",50,"0.15000"
10347,40,"14.70000",4,"0.00000"
10347,75,"6.20000",6,"0.15000"
10348,1,"14.40000",15,"0.15000"
10348,23,"7.20000",25,"0.00000"
10349,54,"5.90000",24,"0.00000"
10350,50,"13.00000",15,"0.10000"
10350,69,"28.80000",18,"0.10000"
10351,38,"210.80000",20,"0.05000"
10351,41,"7.70000",13,"0.00000"
10351,44,"15.50000",77,"0.05000"
10351,65,"16.80000",10,"0.05000"
10352,24,"3.60000",10,"0.00000"
10352,54,"5.90000",20,"0.15000"
10353,11,"16.80000",12,"0.20000"
10353,38,"210.80000",50,"0.20000"
10354,1,"14.40000",12,"0.00000"
10354,29,"99.00000",4,"0.00000"
10355,24,"3.60000",25,"0.00000"
10355,57,"15.60000",25,"0.00000"
10356,31,"10.00000",30,"0.00000"
10356,55,"19.20000",12,"0.00000"
10356,69,"28.80000",20,"0.00000"
10357,10,"24.80000",30,"0.20000"
10357,26,"24.90000",16,"0.00000"
10357,60,"27.20000",8,"0.20000"
10358,24,"3.60000",10,"0.05000"
10358,34,"11.20000",10,"0.05000"
10358,36,"15.20000",20,"0.05000"
10359,16,"13.90000",56,"0.05000"
10359,31,"10.00000",70,"0.05000"
10359,60,"27.20000",80,"0.05000"
10360,28,"36.40000",30,"0.00000"
10360,29,"99.00000",35,"0.00000"
10360,38,"210.80000",10,"0.00000"
10360,49,"16.00000",35,"0.00000"
10360,54,"5.90000",28,"0.00000"
10361,39,"14.40000",54,"0.10000"
10361,60,"27.20000",55,"0.10000"
10362,25,"11.20000",50,"0.00000"
10362,51,"42.40000",20,"0.00000"
10362,54,"5.90000",24,"0.00000"
10363,31,"10.00000",20,"0.00000"
10363,75,"6.20000",12,"0.00000"
10363,76,"14.40000",12,"0.00000"
10364,69,"28.80000",30,"0.00000"
10364,71,"17.20000",5,"0.00000"
10365,11,"16.80000",24,"0.00000"
10366,65,"16.80000",5,"0.00000"
10366,77,"10.40000",5,"0.00000"
10367,34,"11.20000",36,"0.00000"
10367,54,"5.90000",18,"0.00000"
10367,65,"16.80000",15,"0.00000"
10367,77,"10.40000",7,"0.00000"
10368,21,"8.00000",5,"0.10000"
10368,28,"36.40000",13,"0.10000"
10368,57,"15.60000",25,"0.00000"
10368,64,"26.60000",35,"0.10000"
10369,29,"99.00000",20,"0.00000"
10369,56,"30.40000",18,"0.25000"
10370,1,"14.40000",15,"0.15000"
10370,64,"26.60000",30,"0.00000"
10370,74,"8.00000",20,"0.15000"
10371,36,"15.20000",6,"0.20000"
10372,20,"64.80000",12,"0.25000"
10372,38,"210.80000",40,"0.25000"
10372,60,"27.20000",70,"0.25000"
10372,72,"27.80000",42,"0.25000"
10373,58,"10.60000",80,"0.20000"
10373,71,"17.20000",50,"0.20000"
10374,31,"10.00000",30,"0.00000"
10374,58,"10.60000",15,"0.00000"
10375,14,"18.60000",15,"0.00000"
10375,54,"5.90000",10,"0.00000"
10376,31,"10.00000",42,"0.05000"
10377,28,"36.40000",20,"0.15000"
10377,39,"14.40000",20,"0.15000"
10378,71,"17.20000",6,"0.00000"
10379,41,"7.70000",8,"0.10000"
10379,63,"35.10000",16,"0.10000"
10379,65,"16.80000",20,"0.10000"
10380,30,"20.70000",18,"0.10000"
10380,53,"26.20000",20,"0.10000"
10380,60,"27.20000",6,"0.10000"
10380,70,"12.00000",30,"0.00000"
10381,74,"8.00000",14,"0.00000"
10382,5,"17.00000",32,"0.00000"
10382,18,"50.00000",9,"0.00000"
10382,29,"99.00000",14,"0.00000"
10382,33,"2.00000",60,"0.00000"
10382,74,"8.00000",50,"0.00000"
10383,13,"4.80000",20,"0.00000"
10383,50,"13.00000",15,"0.00000"
10383,56,"30.40000",20,"0.00000"
10384,20,"64.80000",28,"0.00000"
10384,60,"27.20000",15,"0.00000"
10385,7,"24.00000",10,"0.20000"
10385,60,"27.20000",20,"0.20000"
10385,68,"10.00000",8,"0.20000"
10386,24,"3.60000",15,"0.00000"
10386,34,"11.20000",10,"0.00000"
10387,24,"3.60000",15,"0.00000"
10387,28,"36.40000",6,"0.00000"
10387,59,"44.00000",12,"0.00000"
10387,71,"17.20000",15,"0.00000"
10388,45,"7.60000",15,"0.20000"
10388,52,"5.60000",20,"0.20000"
10388,53,"26.20000",40,"0.00000"
10389,10,"24.80000",16,"0.00000"
10389,55,"19.20000",15,"0.00000"
10389,62,"39.40000",20,"0.00000"
10389,70,"12.00000",30,"0.00000"
10390,31,"10.00000",60,"0.10000"
10390,35,"14.40000",40,"0.10000"
10390,46,"9.60000",45,"0.00000"
10390,72,"27.80000",24,"0.10000"
10391,13,"4.80000",18,"0.00000"
10392,69,"28.80000",50,"0.00000"
10393,2,"15.20000",25,"0.25000"
10393,14,"18.60000",42,"0.25000"
10393,25,"11.20000",7,"0.25000"
10393,26,"24.90000",70,"0.25000"
10393,31,"10.00000",32,"0.00000"
10394,13,"4.80000",10,"0.00000"
10394,62,"39.40000",10,"0.00000"
10395,46,"9.60000",28,"0.10000"
10395,53,"26.20000",70,"0.10000"
10395,69,"28.80000",8,"0.00000"
10396,23,"7.20000",40,"0.00000"
10396,71,"17.20000",60,"0.00000"
10396,72,"27.80000",21,"0.00000"
10397,21,"8.00000",10,"0.15000"
10397,51,"42.40000",18,"0.15000"
10398,35,"14.40000",30,"0.00000"
10398,55,"19.20000",120,"0.10000"
10399,68,"10.00000",60,"0.00000"
10399,71,"17.20000",30,"0.00000"
10399,76,"14.40000",35,"0.00000"
10399,77,"10.40000",14,"0.00000"
10400,29,"99.00000",21,"0.00000"
10400,35,"14.40000",35,"0.00000"
10400,49,"16.00000",30,"0.00000"
10401,30,"20.70000",18,"0.00000"
10401,56,"30.40000",70,"0.00000"
10401,65,"16.80000",20,"0.00000"
10401,71,"17.20000",60,"0.00000"
10402,23,"7.20000",60,"0.00000"
10402,63,"35.10000",65,"0.00000"
10403,16,"13.90000",21,"0.15000"
10403,48,"10.20000",70,"0.15000"
10404,26,"24.90000",30,"0.05000"
10404,42,"11.20000",40,"0.05000"
10404,49,"16.00000",30,"0.05000"
10405,3,"8.00000",50,"0.00000"
10406,1,"14.40000",10,"0.00000"
10406,21,"8.00000",30,"0.10000"
10406,28,"36.40000",42,"0.10000"
10406,36,"15.20000",5,"0.10000"
10406,40,"14.70000",2,"0.10000"
10407,11,"16.80000",30,"0.00000"
10407,69,"28.80000",15,"0.00000"
10407,71,"17.20000",15,"0.00000"
10408,37,"20.80000",10,"0.00000"
10408,54,"5.90000",6,"0.00000"
10408,62,"39.40000",35,"0.00000"
10409,14,"18.60000",12,"0.00000"
10409,21,"8.00000",12,"0.00000"
10410,33,"2.00000",49,"0.00000"
10410,59,"44.00000",16,"0.00000"
10411,41,"7.70000",25,"0.20000"
10411,44,"15.50000",40,"0.20000"
10411,59,"44.00000",9,"0.20000"
10412,14,"18.60000",20,"0.10000"
10413,1,"14.40000",24,"0.00000"
10413,62,"39.40000",40,"0.00000"
10413,76,"14.40000",14,"0.00000"
10414,19,"7.30000",18,"0.05000"
10414,33,"2.00000",50,"0.00000"
10415,17,"31.20000",2,"0.00000"
10415,33,"2.00000",20,"0.00000"
10416,19,"7.30000",20,"0.00000"
10416,53,"26.20000",10,"0.00000"
10416,57,"15.60000",20,"0.00000"
10417,38,"210.80000",50,"0.00000"
10417,46,"9.60000",2,"0.25000"
10417,68,"10.00000",36,"0.25000"
10417,77,"10.40000",35,"0.00000"
10418,2,"15.20000",60,"0.00000"
10418,47,"7.60000",55,"0.00000"
10418,61,"22.80000",16,"0.00000"
10418,74,"8.00000",15,"0.00000"
10419,60,"27.20000",60,"0.05000"
10419,69,"28.80000",20,"0.05000"
10420,9,"77.60000",20,"0.10000"
10420,13,"4.80000",2,"0.10000"
10420,70,"12.00000",8,"0.10000"
10420,73,"12.00000",20,"0.10000"
10421,19,"7.30000",4,"0.15000"
10421,26,"24.90000",30,"0.00000"
10421,53,"26.20000",15,"0.15000"
10421,77,"10.40000",10,"0.15000"
10422,26,"24.90000",2,"0.00000"
10423,31,"10.00000",14,"0.00000"
10423,59,"44.00000",20,"0.00000"
10424,35,"14.40000",60,"0.20000"
10424,38,"210.80000",49,"0.20000"
10424,68,"10.00000",30,"0.20000"
10425,55,"19.20000",10,"0.25000"
10425,76,"14.40000",20,"0.25000"
10426,56,"30.40000",5,"0.00000"
10426,64,"26.60000",7,"0.00000"
10427,14,"18.60000",35,"0.00000"
10428,46,"9.60000",20,"0.00000"
10429,50,"13.00000",40,"0.00000"
10429,63,"35.10000",35,"0.25000"
10430,17,"31.20000",45,"0.20000"
10430,21,"8.00000",50,"0.00000"
10430,56,"30.40000",30,"0.00000"
10430,59,"44.00000",70,"0.20000"
10431,17,"31.20000",50,"0.25000"
10431,40,"14.70000",50,"0.25000"
10431,47,"7.60000",30,"0.25000"
10432,26,"24.90000",10,"0.00000"
10432,54,"5.90000",40,"0.00000"
10433,56,"30.40000",28,"0.00000"
10434,11,"16.80000",6,"0.00000"
10434,76,"14.40000",18,"0.15000"
10435,2,"15.20000",10,"0.00000"
10435,22,"16.80000",12,"0.00000"
10435,72,"27.80000",10,"0.00000"
10436,46,"9.60000",5,"0.00000"
10436,56,"30.40000",40,"0.10000"
10436,64,"26.60000",30,"0.10000"
10436,75,"6.20000",24,"0.10000"
10437,53,"26.20000",15,"0.00000"
10438,19,"7.30000",15,"0.20000"
10438,34,"11.20000",20,"0.20000"
10438,57,"15.60000",15,"0.20000"
10439,12,"30.40000",15,"0.00000"
10439,16,"13.90000",16,"0.00000"
10439,64,"26.60000",6,"0.00000"
10439,74,"8.00000",30,"0.00000"
10440,2,"15.20000",45,"0.15000"
10440,16,"13.90000",49,"0.15000"
10440,29,"99.00000",24,"0.15000"
10440,61,"22.80000",90,"0.15000"
10441,27,"35.10000",50,"0.00000"
10442,11,"16.80000",30,"0.00000"
10442,54,"5.90000",80,"0.00000"
10442,66,"13.60000",60,"0.00000"
10443,11,"16.80000",6,"0.20000"
10443,28,"36.40000",12,"0.00000"
10444,17,"31.20000",10,"0.00000"
10444,26,"24.90000",15,"0.00000"
10444,35,"14.40000",8,"0.00000"
10444,41,"7.70000",30,"0.00000"
10445,39,"14.40000",6,"0.00000"
10445,54,"5.90000",15,"0.00000"
10446,19,"7.30000",12,"0.10000"
10446,24,"3.60000",20,"0.10000"
10446,31,"10.00000",3,"0.10000"
10446,52,"5.60000",15,"0.10000"
10447,19,"7.30000",40,"0.00000"
10447,65,"16.80000",35,"0.00000"
10447,71,"17.20000",2,"0.00000"
10448,26,"24.90000",6,"0.00000"
10448,40,"14.70000",20,"0.00000"
10449,10,"24.80000",14,"0.00000"
10449,52,"5.60000",20,"0.00000"
10449,62,"39.40000",35,"0.00000"
10450,10,"24.80000",20,"0.20000"
10450,54,"5.90000",6,"0.20000"
10451,55,"19.20000",120,"0.10000"
10451,64,"26.60000",35,"0.10000"
10451,65,"16.80000",28,"0.10000"
10451,77,"10.40000",55,"0.10000"
10452,28,"36.40000",15,"0.00000"
10452,44,"15.50000",100,"0.05000"
10453,48,"10.20000",15,"0.10000"
10453,70,"12.00000",25,"0.10000"
10454,16,"13.90000",20,"0.20000"
10454,33,"2.00000",20,"0.20000"
10454,46,"9.60000",10,"0.20000"
10455,39,"14.40000",20,"0.00000"
10455,53,"26.20000",50,"0.00000"
10455,61,"22.80000",25,"0.00000"
10455,71,"17.20000",30,"0.00000"
10456,21,"8.00000",40,"0.15000"
10456,49,"16.00000",21,"0.15000"
10457,59,"44.00000",36,"0.00000"
10458,26,"24.90000",30,"0.00000"
10458,28,"36.40000",30,"0.00000"
10458,43,"36.80000",20,"0.00000"
10458,56,"30.40000",15,"0.00000"
10458,71,"17.20000",50,"0.00000"
10459,7,"24.00000",16,"0.05000"
10459,46,"9.60000",20,"0.05000"
10459,72,"27.80000",40,"0.00000"
10460,68,"10.00000",21,"0.25000"
10460,75,"6.20000",4,"0.25000"
10461,21,"8.00000",40,"0.25000"
10461,30,"20.70000",28,"0.25000"
10461,55,"19.20000",60,"0.25000"
10462,13,"4.80000",1,"0.00000"
10462,23,"7.20000",21,"0.00000"
10463,19,"7.30000",21,"0.00000"
10463,42,"11.20000",50,"0.00000"
10464,4,"17.60000",16,"0.20000"
10464,43,"36.80000",3,"0.00000"
10464,56,"30.40000",30,"0.20000"
10464,60,"27.20000",20,"0.00000"
10465,24,"3.60000",25,"0.00000"
10465,29,"99.00000",18,"0.10000"
10465,40,"14.70000",20,"0.00000"
10465,45,"7.60000",30,"0.10000"
10465,50,"13.00000",25,"0.00000"
10466,11,"16.80000",10,"0.00000"
10466,46,"9.60000",5,"0.00000"
10467,24,"3.60000",28,"0.00000"
10467,25,"11.20000",12,"0.00000"
10468,30,"20.70000",8,"0.00000"
10468,43,"36.80000",15,"0.00000"
10469,2,"15.20000",40,"0.15000"
10469,16,"13.90000",35,"0.15000"
10469,44,"15.50000",2,"0.15000"
10470,18,"50.00000",30,"0.00000"
10470,23,"7.20000",15,"0.00000"
10470,64,"26.60000",8,"0.00000"
10471,7,"24.00000",30,"0.00000"
10471,56,"30.40000",20,"0.00000"
10472,24,"3.60000",80,"0.05000"
10472,51,"42.40000",18,"0.00000"
10473,33,"2.00000",12,"0.00000"
10473,71,"17.20000",12,"0.00000"
10474,14,"18.60000",12,"0.00000"
10474,28,"36.40000",18,"0.00000"
10474,40,"14.70000",21,"0.00000"
10474,75,"6.20000",10,"0.00000"
10475,31,"10.00000",35,"0.15000"
10475,66,"13.60000",60,"0.15000"
10475,76,"14.40000",42,"0.15000"
10476,55,"19.20000",2,"0.05000"
10476,70,"12.00000",12,"0.00000"
10477,1,"14.40000",15,"0.00000"
10477,21,"8.00000",21,"0.25000"
10477,39,"14.40000",20,"0.25000"
10478,10,"24.80000",20,"0.05000"
10479,38,"210.80000",30,"0.00000"
10479,53,"26.20000",28,"0.00000"
10479,59,"44.00000",60,"0.00000"
10479,64,"26.60000",30,"0.00000"
10480,47,"7.60000",30,"0.00000"
10480,59,"44.00000",12,"0.00000"
10481,49,"16.00000",24,"0.00000"
10481,60,"27.20000",40,"0.00000"
10482,40,"14.70000",10,"0.00000"
10483,34,"11.20000",35,"0.05000"
10483,77,"10.40000",30,"0.05000"
10484,21,"8.00000",14,"0.00000"
10484,40,"14.70000",10,"0.00000"
10484,51,"42.40000",3,"0.00000"
10485,2,"15.20000",20,"0.10000"
10485,3,"8.00000",20,"0.10000"
10485,55,"19.20000",30,"0.10000"
10485,70,"12.00000",60,"0.10000"
10486,11,"16.80000",5,"0.00000"
10486,51,"42.40000",25,"0.00000"
10486,74,"8.00000",16,"0.00000"
10487,19,"7.30000",5,"0.00000"
10487,26,"24.90000",30,"0.00000"
10487,54,"5.90000",24,"0.25000"
10488,59,"44.00000",30,"0.00000"
10488,73,"12.00000",20,"0.20000"
10489,11,"16.80000",15,"0.25000"
10489,16,"13.90000",18,"0.00000"
10490,59,"44.00000",60,"0.00000"
10490,68,"10.00000",30,"0.00000"
10490,75,"6.20000",36,"0.00000"
10491,44,"15.50000",15,"0.15000"
10491,77,"10.40000",7,"0.15000"
10492,25,"11.20000",60,"0.05000"
10492,42,"11.20000",20,"0.05000"
10493,65,"16.80000",15,"0.10000"
10493,66,"13.60000",10,"0.10000"
10493,69,"28.80000",10,"0.10000"
10494,56,"30.40000",30,"0.00000"
10495,23,"7.20000",10,"0.00000"
10495,41,"7.70000",20,"0.00000"
10495,77,"10.40000",5,"0.00000"
10496,31,"10.00000",20,"0.05000"
10497,56,"30.40000",14,"0.00000"
10497,72,"27.80000",25,"0.00000"
10497,77,"10.40000",25,"0.00000"
10498,24,"4.50000",14,"0.00000"
10498,40,"18.40000",5,"0.00000"
10498,42,"14.00000",30,"0.00000"
10499,28,"45.60000",20,"0.00000"
10499,49,"20.00000",25,"0.00000"
10500,15,"15.50000",12,"0.05000"
10500,28,"45.60000",8,"0.05000"
10501,54,"7.45000",20,"0.00000"
10502,45,"9.50000",21,"0.00000"
10502,53,"32.80000",6,"0.00000"
10502,67,"14.00000",30,"0.00000"
10503,14,"23.25000",70,"0.00000"
10503,65,"21.05000",20,"0.00000"
10504,2,"19.00000",12,"0.00000"
10504,21,"10.00000",12,"0.00000"
10504,53,"32.80000",10,"0.00000"
10504,61,"28.50000",25,"0.00000"
10505,62,"49.30000",3,"0.00000"
10506,25,"14.00000",18,"0.10000"
10506,70,"15.00000",14,"0.10000"
10507,43,"46.00000",15,"0.15000"
10507,48,"12.75000",15,"0.15000"
10508,13,"6.00000",10,"0.00000"
10508,39,"18.00000",10,"0.00000"
10509,28,"45.60000",3,"0.00000"
10510,29,"123.79000",36,"0.00000"
10510,75,"7.75000",36,"0.10000"
10511,4,"22.00000",50,"0.15000"
10511,7,"30.00000",50,"0.15000"
10511,8,"40.00000",10,"0.15000"
10512,24,"4.50000",10,"0.15000"
10512,46,"12.00000",9,"0.15000"
10512,47,"9.50000",6,"0.15000"
10512,60,"34.00000",12,"0.15000"
10513,21,"10.00000",40,"0.20000"
10513,32,"32.00000",50,"0.20000"
10513,61,"28.50000",15,"0.20000"
10514,20,"81.00000",39,"0.00000"
